time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793643181513649,	-0.162669,	2.01173,	0.0542215,	-0.0365006,	-0.537563,	-1.77132,	0.0161284,	-0.0134781,	0.0724358,	0.997152,	-0.0869211,	2.08651,	0.270717,	0.579333,	0.0704452,	-0.0111952,	-0.101695,	0.657754,	0.739873,	-0.0980076,	-0.222174,	1.9684,	-0.0326621,	1.49434,	-0.193257,	0.217115,	-0.0173229,	-0.0110121,	0.0245546,	0.999488
1520793643302136993,	-0.0699604,	2.01976,	0.051582,	0.141339,	-0.556274,	-1.82613,	0.00757295,	-0.00343819,	0.0869829,	0.996175,	-0.0413307,	2.07392,	0.26083,	0.37992,	-0.104974,	-0.0823936,	-0.108327,	0.639861,	0.752629,	-0.111322,	-0.108882,	1.91456,	-0.022774,	0.944096,	-0.448665,	0.0824002,	0.0172812,	-0.0116714,	0.0625382,	0.997825
1520793643419901537,	-0.0393049,	2.01963,	0.0429417,	0.0173141,	-0.463986,	-1.86229,	0.0233518,	-0.000685801,	0.0964159,	0.995067,	-0.0307695,	2.0801,	0.256508,	0.0902667,	0.052827,	-0.0369392,	-0.0998378,	0.64756,	0.746953,	-0.112959,	-0.020191,	1.91573,	-0.0254369,	0.758044,	0.0100503,	-0.0227592,	0.00691154,	-0.00107599,	0.0785721,	0.996884
1520793643531774417,	-0.0248365,	2.02282,	0.0370295,	0.0534506,	-0.515986,	-1.97728,	0.017061,	0.00674042,	0.0898353,	0.995788,	-0.0265859,	2.08487,	0.254175,	0.0376898,	0.0429622,	-0.0210194,	-0.0912169,	0.653838,	0.742524,	-0.113286,	0.00896661,	1.91337,	-0.0335231,	0.262681,	-0.0212953,	-0.0728491,	0.0241793,	0.00149194,	0.0881148,	0.995816
1520793643627728318,	-0.0237003,	2.02338,	0.0344364,	0.0303753,	-0.647168,	-2.31304,	0.00977316,	0.0132335,	0.0842061,	0.996313,	-0.0309546,	2.08314,	0.253264,	-0.0459856,	-0.0181687,	-0.00959055,	-0.0898193,	0.653003,	0.743654,	-0.111797,	0.0227915,	1.91539,	-0.0391721,	0.145525,	0.0212593,	-0.0594634,	0.01808,	0.00867294,	0.0817944,	0.996447
1520793643738980658,	-0.0269142,	2.0239,	0.0338573,	0.0363995,	-0.533696,	-1.97663,	0.0106909,	0.0123413,	0.0822003,	0.996482,	-0.046176,	2.0821,	0.253058,	-0.13713,	-0.00933207,	-0.00185565,	-0.0920125,	0.654136,	0.743179,	-0.10642,	0.0236266,	1.91554,	-0.0416248,	0.00752318,	0.00135898,	-0.0220958,	0.0108108,	0.0149468,	0.0762172,	0.996921
1520793643869943569,	-0.0458154,	2.01653,	0.0330944,	0.00277424,	-0.504421,	-1.69203,	0.0114193,	0.00636195,	0.0802991,	0.996685,	-0.105287,	2.07328,	0.249606,	-0.454703,	-0.067859,	-0.0265496,	-0.0990449,	0.648681,	0.747929,	-0.100027,	0.0208488,	1.91659,	-0.0421924,	-0.0213677,	0.00807092,	-0.00436595,	0.0117272,	0.0140618,	0.0742471,	0.997072
1520793643979510217,	-0.10021,	2.00575,	0.0310551,	0.0465862,	-0.619567,	-2.00506,	0.0162348,	-0.000646507,	0.0809815,	0.996583,	-0.190088,	2.07312,	0.246799,	-0.777982,	-0.00150007,	-0.0257555,	-0.111421,	0.656234,	0.739219,	-0.102456,	0.00270665,	1.91086,	-0.0426776,	-0.166442,	-0.0525618,	-0.0044518,	0.0126445,	0.00809242,	0.0720318,	0.997289
1520793644088829522,	-0.186491,	2.03492,	0.029945,	0.0329935,	-0.350398,	-1.98949,	0.00422291,	-0.00982382,	0.0842473,	0.996388,	-0.31149,	2.05932,	0.238298,	-1.11379,	-0.126567,	-0.0779855,	-0.116251,	0.650186,	0.744074,	-0.100484,	-0.0493543,	1.90437,	-0.04431,	-0.477623,	-0.059548,	-0.0149765,	0.0180928,	0.00109297,	0.0718498,	0.997251
1520793644159566111,	-0.312078,	2.04129,	0.0102085,	-0.0083949,	-0.257586,	-3.25843,	0.0298302,	-0.015321,	0.0853499,	0.995787,	-0.478067,	2.04063,	0.22669,	-2.37967,	-0.266972,	-0.165841,	-0.116509,	0.645187,	0.748715,	-0.097908,	-0.131152,	1.93853,	-0.0465682,	-1.16854,	0.487925,	-0.0322598,	0.00337736,	-0.00741578,	0.074626,	0.997178
